sample,fastq_1,fastq_2,marker,run
POND_A_S1,/path/to/POND_A_S1_R1_001.fastq.gz,/path/to/POND_A_S1_R2_001.fastq.gz,16S,run1
POND_A_S1,/path/to/POND_A_S1_R1_001.fastq.gz,/path/to/POND_A_S1_R2_001.fastq.gz,ITS,run1
POND_B_S2,/path/to/POND_B_S2_R1_001.fastq.gz,/path/to/POND_B_S2_R2_001.fastq.gz,16S,run1
POND_B_S2,/path/to/POND_B_S2_R1_001.fastq.gz,/path/to/POND_B_S2_R2_001.fastq.gz,ITS,run1
RIVER_C_S3,/path/to/RIVER_C_S3_R1_001.fastq.gz,/path/to/RIVER_C_S3_R2_001.fastq.gz,18S,run2
RIVER_C_S3,/path/to/RIVER_C_S3_R1_001.fastq.gz,/path/to/RIVER_C_S3_R2_001.fastq.gz,CO1,run2
RIVER_C_S3,/path/to/RIVER_C_S3_R1_001.fastq.gz,/path/to/RIVER_C_S3_R2_001.fastq.gz,12S,run2
SOIL_D_S4,/path/to/SOIL_D_S4_R1_001.fastq.gz,/path/to/SOIL_D_S4_R2_001.fastq.gz,16S,run2
SOIL_D_S4,/path/to/SOIL_D_S4_R1_001.fastq.gz,/path/to/SOIL_D_S4_R2_001.fastq.gz,ITS,run2
NEG_CTRL,/path/to/NEG_CTRL_R1_001.fastq.gz,/path/to/NEG_CTRL_R2_001.fastq.gz,16S,run1
