sample,fastq_1,fastq_2,marker,run
11240_0323hrs_eb_12_5_23_S130,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_0323hrs_eb_12_5_23_S130_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_0323hrs_eb_12_5_23_S130_R2_cuta_noprim.fastq.gz,12S,run1
11240_16_11_23_eb_S131,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_16_11_23_eb_S131_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_16_11_23_eb_S131_R2_cuta_noprim.fastq.gz,12S,run1
11240_18_5_23_eb_S132,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_18_5_23_eb_S132_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_18_5_23_eb_S132_R2_cuta_noprim.fastq.gz,12S,run1
11240_3_5_23_eb_0323HC_EB_S133,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_3_5_23_eb_0323HC_EB_S133_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_3_5_23_eb_0323HC_EB_S133_R2_cuta_noprim.fastq.gz,12S,run1
11240_EB1_18_12_23_0088_S134,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_EB1_18_12_23_0088_S134_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_EB1_18_12_23_0088_S134_R2_cuta_noprim.fastq.gz,12S,run1
11240_EB1_18_12_23_0089_S135,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_EB1_18_12_23_0089_S135_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_EB1_18_12_23_0089_S135_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_1123_W1_S136,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_1123_W1_S136_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_1123_W1_S136_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_1123_W2_S137,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_1123_W2_S137_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_1123_W2_S137_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_1123_W3_S138,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_1123_W3_S138_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_1123_W3_S138_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_323_S10_S140,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_323_S10_S140_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_323_S10_S140_R2_cuta_noprim.fastq.gz,12S,run1
